year,fips,date,cases
2020,5035,4,3432
2020,5035,5,7679
2020,5035,6,16463
2020,5035,7,28645
2020,5035,8,45218
2020,5035,9,54681
2020,5035,10,67671
2020,5035,11,87157
2020,5035,12,118583
2020,5037,3,12
2020,5037,4,253
2020,5037,5,1104
2020,5037,6,2217
2020,5037,7,3546
2020,5037,8,6828
2020,5037,9,11214
2020,5037,10,16505
2020,5037,11,21374
2020,5037,12,35176
2020,5039,4,27
2020,5039,5,31
2020,5039,6,137
2020,5039,7,676
2020,5039,8,2427
2020,5039,9,4490
2020,5039,10,5452
2020,5039,11,7133
2020,5039,12,12447
2020,5041,3,24
2020,5041,4,249
2020,5041,5,545
2020,5041,6,808
2020,5041,7,2935
2020,5041,8,6346
2020,5041,9,8093
2020,5041,10,11318
2020,5041,11,14705
2020,5041,12,24222
2020,5043,3,13
2020,5043,4,222
2020,5043,5,573
2020,5043,6,977
2020,5043,7,3269
2020,5043,8,7623
2020,5043,9,10080
2020,5043,10,12279
2020,5043,11,16361
2020,5043,12,36642
2020,5045,3,241
2020,5045,4,1778
2020,5045,5,2775
2020,5045,6,6625
2020,5045,7,26134
2020,5045,8,43794
2020,5045,9,62864
2020,5045,10,94688
2020,5045,11,123837
2020,5045,12,193041
2020,5047,4,31
2020,5047,5,80
2020,5047,6,277
2020,5047,7,1472
2020,5047,8,4274
2020,5047,9,6767
2020,5047,10,13530
2020,5047,11,20277
2020,5047,12,29685
2020,5049,4,8
2020,5049,5,124
2020,5049,6,267
2020,5049,7,602
2020,5049,8,1501
2020,5049,9,3390
2020,5049,10,8077
2020,5049,11,13410
2020,5049,12,21735
2020,5051,3,217
2020,5051,4,2596
2020,5051,5,3913
2020,5051,6,5144
2020,5051,7,14075
2020,5051,8,35858
2020,5051,9,50332
2020,5051,10,69485
2020,5051,11,96361
2020,5051,12,148537
2020,5053,3,29
2020,5053,4,270
2020,5053,5,486
2020,5053,6,748
2020,5053,7,2353
2020,5053,8,4735
2020,5053,9,6931
2020,5053,10,10066
